B M R T
0.414 0.204 0.29 0.092
0.192 0.614 0.112 0.082
0.14 0.466 0.318 0.076
0.004 0.002 0.636 0.358
0 0 0.36 0.64
0.078 0 0.432 0.49
0.01 0.022 0.818 0.15
0.01 0.022 0.818 0.15
0 0 0.524 0.476
0.026 0.016 0.726 0.232
0.312 0.002 0.276 0.41
0.078 0 0.432 0.49
0.01 0.022 0.818 0.15
0 0 0.068 0.932
0 0 0.338 0.662
0.26 0.33 0.122 0.288
0.17 0.554 0.124 0.152
0.496 0.284 0.2 0.02
0.274 0.264 0.07 0.392
0 0 0.508 0.492
0 0 0.202 0.798
0.05 0.074 0.572 0.304
0.006 0.104 0.852 0.038
0 0 0.23 0.77
0 0 0.226 0.774
0 0 0.202 0.798
0 0 0.728 0.272
0 0 0.728 0.272
0 0 0.728 0.272
0 0 0.728 0.272
0 0 0.482 0.518
0.05 0.074 0.572 0.304
0.006 0.104 0.852 0.038
0 0 0.52 0.48
0 0 0.428 0.572
0 0 0.268 0.732
0.118 0.06 0.586 0.236
0.118 0.06 0.586 0.236
0.024 0.14 0.534 0.302
0.024 0.14 0.534 0.302
0.07 0.056 0.554 0.32
0.062 0.006 0.72 0.212
0.024 0.14 0.534 0.302
0.07 0.056 0.554 0.32
0.06 0.062 0.712 0.166
0.03 0.014 0.88 0.076
0.06 0.062 0.712 0.166
0.03 0.014 0.88 0.076
0.004 0.024 0.782 0.19
0 0.16 0.404 0.436
0.008 0 0.536 0.456
0.01 0 0.872 0.118
0.044 0 0.438 0.518
0 0 0.438 0.562
0.584 0.102 0.058 0.256
0.064 0.182 0.224 0.53
0.024 0.006 0.582 0.388
0.024 0.006 0.582 0.388
0.024 0.006 0.582 0.388
0.024 0.006 0.582 0.388
0.01 0.102 0.37 0.518
0.01 0.196 0.78 0.014
0.09 0.008 0.364 0.538
0.002 0 0.596 0.402
0.024 0.166 0.61 0.2
0 0.076 0.642 0.282
0.078 0.05 0.618 0.254
0 0 0.15 0.85
0 0 0.166 0.834
0 0 0.166 0.834
0 0 0.806 0.194
0 0 0.324 0.676
0.054 0 0.498 0.448
0.216 0.376 0.156 0.252
0.216 0.376 0.156 0.252
0.216 0.376 0.156 0.252
0.012 0.542 0.37 0.076
0 0 0.266 0.734
0.012 0 0.114 0.874
0 0.008 0.212 0.78
0.202 0.486 0.21 0.102
0.198 0.16 0.428 0.214
0.05 0.448 0.31 0.192
0.022 0.024 0.906 0.048
0.108 0 0.578 0.314
0.022 0.024 0.906 0.048
0.108 0 0.578 0.314
0.138 0.146 0.54 0.176
0 0.16 0.404 0.436
0 0 0.1 0.9
0.178 0.102 0.5 0.22
0.426 0.224 0.13 0.22
0 0 0.288 0.712
0.166 0.37 0.246 0.218
0.138 0.012 0.588 0.262
0.752 0 0.222 0.026
0.138 0.012 0.588 0.262
0.752 0 0.222 0.026
0.138 0.012 0.588 0.262
0.752 0 0.222 0.026
0 0 0.018 0.982
0 0 0.036 0.964
0 0 0.288 0.712
0.166 0.37 0.246 0.218
0 0 0.642 0.358
0 0 0.636 0.364
0 0 0.642 0.358
0 0 0.636 0.364
0 0 0.428 0.572
0 0 0.268 0.732
0 0 0.642 0.358
0 0 0.636 0.364
0 0.01 0.348 0.642
0.024 0.166 0.61 0.2
0 0.076 0.642 0.282
0 0 0.628 0.372
0.136 0.018 0.822 0.024
0.088 0 0.858 0.054
0.008 0.03 0.65 0.312
0.182 0.152 0.38 0.286
0.136 0.018 0.822 0.024
0.088 0 0.858 0.054
0 0 0.206 0.794
0.01 0.002 0.826 0.162
0.006 0.058 0.382 0.554
0.01 0.002 0.826 0.162
0.006 0.058 0.382 0.554
0 0 0.708 0.292
0 0 0.928 0.072
0 0 0.204 0.796
0 0 0.548 0.452
0 0.014 0.594 0.392
0.01 0.002 0.826 0.162
0.006 0.058 0.382 0.554
0.01 0.002 0.826 0.162
0.006 0.058 0.382 0.554
0 0.004 0.994 0.002
0 0 0.356 0.644
0 0.004 0.994 0.002
0 0.004 0.994 0.002
0 0.004 0.994 0.002
0 0.004 0.994 0.002
0 0 0.414 0.586
0 0 0.47 0.53
0 0 0.612 0.388
0 0.01 0.348 0.642
0.068 0.026 0.862 0.044
0.068 0.026 0.862 0.044
0.078 0.004 0.498 0.42
0.038 0.03 0.552 0.38
0.346 0.004 0.638 0.012
0.036 0.04 0.84 0.084
0.302 0.098 0.226 0.374
0.008 0.01 0.666 0.316
0.302 0.098 0.226 0.374
0.008 0.01 0.666 0.316
0 0 0.46 0.54
0.046 0.03 0.694 0.23
0 0 0.354 0.646
0 0 0.718 0.282
0.302 0.098 0.226 0.374
0.008 0.01 0.666 0.316
0 0 0.184 0.816
0 0 0.81 0.19
0.246 0 0.596 0.158
0.516 0 0.448 0.036
0.516 0 0.448 0.036
0.246 0 0.596 0.158
0.516 0 0.448 0.036
0.516 0 0.448 0.036
0.246 0 0.596 0.158
0.516 0 0.448 0.036
0.246 0 0.596 0.158
0.516 0 0.448 0.036
0.516 0 0.448 0.036
0.246 0 0.596 0.158
0.516 0 0.448 0.036
0 0 0.888 0.112
0.13 0.006 0.858 0.006
0.154 0.178 0.454 0.214
0.246 0 0.596 0.158
0.516 0 0.448 0.036
0.038 0.458 0.052 0.452
0.172 0.324 0.368 0.136
0.012 0.288 0.082 0.618
0.028 0.33 0.592 0.05
0.044 0.246 0.078 0.632
0.034 0 0.388 0.578
0 0.006 0.828 0.166
0 0 0.19 0.81
0 0 0.658 0.342
0.096 0.64 0.228 0.036
0.046 0.298 0.47 0.186
0.524 0.288 0.188 0
0.332 0.086 0.518 0.064
0.516 0.444 0.038 0.002
0.394 0.344 0.26 0.002
0.048 0.866 0.064 0.022
0.018 0.096 0.43 0.456
0.464 0.076 0.386 0.074
0.126 0.61 0.062 0.202
0.316 0.228 0.266 0.19
0.266 0.064 0.434 0.236
0.698 0.208 0.06 0.034
0.084 0.692 0.024 0.2
0.176 0.556 0.208 0.06
0.256 0.44 0.28 0.024
0.076 0.502 0.32 0.102
0.134 0.45 0.122 0.294
0.028 0.206 0.36 0.406
0 0 0.536 0.464
0 0 0.732 0.268
0.028 0.206 0.36 0.406
0.008 0.024 0.968 0
0.008 0.024 0.968 0
0.066 0 0.682 0.252
0.008 0.08 0.424 0.488
0 0 0.096 0.904
0 0 0.182 0.818
0 0 0.534 0.466
0.002 0 0.322 0.676
0.028 0.206 0.36 0.406
0.002 0.002 0.664 0.332
0.01 0 0.242 0.748
0.034 0.002 0.292 0.672
0.026 0 0.698 0.276
0.034 0.002 0.292 0.672
0.026 0 0.698 0.276
0 0 0.532 0.468
0 0 0.376 0.624
0 0 0.096 0.904
0 0 0.182 0.818
0 0 0.532 0.468
0 0 0.376 0.624
0.002 0.002 0.664 0.332
0.01 0 0.242 0.748
0.29 0.074 0.156 0.48
0.022 0.182 0.492 0.304
0.29 0.074 0.156 0.48
0.022 0.182 0.492 0.304
0.29 0.074 0.156 0.48
0.022 0.182 0.492 0.304
0.868 0.014 0.118 0
0.698 0 0.302 0
0.01 0.554 0.218 0.218
0.65 0.168 0.122 0.06
0.182 0 0.818 0
0.536 0.062 0.382 0.02
0.714 0 0.286 0
0.694 0 0.3 0.006
0.474 0.092 0.432 0.002
0.378 0.442 0.156 0.024
0.372 0.212 0.32 0.096
0.078 0.5 0.232 0.19
0.044 0.486 0.21 0.26
0.046 0.226 0.448 0.28
0.108 0.748 0.106 0.038
0.808 0 0.192 0
0.68 0.002 0.318 0
0.392 0.09 0.47 0.048
0 0 0.242 0.758
0.004 0.074 0.22 0.702
0 0 0.018 0.982
0 0 0.036 0.964
0 0 0.262 0.738
0 0 0.39 0.61
0 0 0.39 0.61
0 0.002 0.192 0.806
0.002 0.086 0.412 0.5
0 0 0.234 0.766
0 0.002 0.07 0.928
0 0 0.102 0.898
0 0 0.166 0.834
0 0.002 0.07 0.928
0 0 0.696 0.304
0 0 0.356 0.644
0.024 0.056 0.37 0.55
0.002 0.134 0.486 0.378
0.054 0.086 0.752 0.108
0 0 0.172 0.828
0 0 0.068 0.932
0 0 0.172 0.828
0 0 0.068 0.932
0.004 0.336 0.098 0.562
0.06 0.102 0.444 0.394
0 0 0.564 0.436
0 0 0.446 0.554
0 0 0.102 0.898
0 0 0.166 0.834
0 0 0.298 0.702
0 0 0.06 0.94
0 0 0.092 0.908
0 0 0.146 0.854
0.05 0.006 0.724 0.22
0.222 0.014 0.474 0.29
0.076 0.044 0.804 0.076
0.112 0.172 0.492 0.224
0 0 0.618 0.382
0 0 0.348 0.652
0 0 0.618 0.382
0.076 0.522 0.388 0.014
0.076 0.522 0.388 0.014
0.006 0.49 0.36 0.144
0.006 0 0.486 0.508
0.076 0.522 0.388 0.014
0.1 0.026 0.562 0.312
0.012 0.492 0.376 0.12
0.06 0.336 0.174 0.43
0.012 0.492 0.376 0.12
0.06 0.336 0.174 0.43
0.106 0.372 0.364 0.158
0.016 0.392 0.414 0.178
0.012 0.492 0.376 0.12
0.06 0.336 0.174 0.43
0 0 0.296 0.704
0 0 0.402 0.598
0.106 0.372 0.364 0.158
0.016 0.392 0.414 0.178
0.004 0.618 0.108 0.27
0.036 0.28 0.244 0.44
0.106 0.372 0.364 0.158
0.016 0.392 0.414 0.178
0.004 0.618 0.108 0.27
0.036 0.28 0.244 0.44
0.004 0.618 0.108 0.27
0.036 0.28 0.244 0.44
0 0 0.302 0.698
0 0 0.412 0.588
0.064 0.048 0.646 0.242
0 0 0.998 0.002
0.092 0.008 0.9 0
0.144 0.16 0.626 0.07
0.05 0.022 0.52 0.408
0.048 0.132 0.34 0.48
0.252 0.128 0.42 0.2
0.262 0.062 0.522 0.154
0.006 0.11 0.776 0.108
0.048 0.132 0.34 0.48
0.252 0.128 0.42 0.2
0.262 0.062 0.522 0.154
0.006 0.11 0.776 0.108
0.262 0.062 0.522 0.154
0.006 0.11 0.776 0.108
0.262 0.062 0.522 0.154
0.006 0.11 0.776 0.108
0.09 0.106 0.798 0.006
0.02 0.078 0.868 0.034
0.362 0.04 0.56 0.038
0.09 0.106 0.798 0.006
0.02 0.078 0.868 0.034
0.362 0.04 0.56 0.038
0.288 0.01 0.698 0.004
0.362 0.04 0.56 0.038
0.144 0.16 0.626 0.07
0.05 0.022 0.52 0.408
0 0.002 0.144 0.854
0 0 0.34 0.66
0 0 0.244 0.756
0 0 0.666 0.334
0.03 0.006 0.38 0.584
0.036 0 0.522 0.442
0.16 0.562 0.15 0.128
0.072 0.322 0.022 0.584
0 0 0.436 0.564
0 0 0.436 0.564
0 0 0.26 0.74
0 0 0.436 0.564
0.258 0.036 0.602 0.104
0.028 0.022 0.65 0.3
0.1 0.3 0.374 0.226
0.084 0.79 0.122 0.004
0.084 0.026 0.712 0.178
0.05 0.048 0.732 0.17
0.1 0.3 0.374 0.226
0.084 0.79 0.122 0.004
0.446 0 0.552 0.002
0 0 0.56 0.44
0 0.102 0.13 0.768
0.302 0 0.698 0
0.302 0 0.698 0
0.446 0 0.552 0.002
0 0 0.112 0.888
0 0 0.688 0.312
0 0 0.732 0.268
0 0 0.302 0.698
0.594 0.214 0.192 0
0.412 0 0.586 0.002
0.568 0.024 0.404 0.004
0.724 0.074 0.202 0
0.392 0.38 0.216 0.012
0.498 0.412 0.08 0.01
0.308 0.228 0.072 0.392
0.218 0.3 0.456 0.026
0.444 0.342 0.214 0
0.17 0.154 0.676 0
0.34 0.276 0.104 0.28
0.036 0.524 0.222 0.218
0.142 0.502 0.198 0.158
0.256 0.176 0.21 0.358
0.298 0 0.702 0
0.478 0.002 0.518 0.002
0.2 0.084 0.704 0.012
0.458 0.026 0.516 0
0.032 0.742 0.094 0.132
0.508 0.248 0.242 0.002
0.606 0.204 0.16 0.03
0.066 0.004 0.848 0.082
0.066 0.004 0.848 0.082
0 0 0.112 0.888
0 0 0.428 0.572
0 0.052 0.416 0.532
0 0.052 0.416 0.532
0.018 0.008 0.746 0.228
0 0 0.056 0.944
0 0 0.384 0.616
0 0 0.056 0.944
0 0 0.384 0.616
0 0 0.2 0.8
0 0 0.33 0.67
0 0 0.416 0.584
0 0 0.258 0.742
0.002 0.016 0.942 0.04
0.046 0.004 0.182 0.768
0.008 0 0.686 0.306
0.168 0.158 0.546 0.128
0.136 0.032 0.432 0.4
0 0 0.212 0.788
0.002 0.016 0.942 0.04
0.13 0.15 0.624 0.096
0.002 0.016 0.942 0.04
0.13 0.15 0.624 0.096
0.008 0.002 0.686 0.304
0.014 0.042 0.836 0.108
0.002 0.016 0.942 0.04
0.13 0.15 0.624 0.096
0.002 0.016 0.942 0.04
0.13 0.15 0.624 0.096
0.026 0.03 0.412 0.532
0.026 0.006 0.184 0.784
0 0 0.252 0.748
0 0 0.608 0.392
0 0 0.714 0.286
0 0 0.524 0.476
0 0 0.448 0.552
0 0 0.588 0.412
0 0 0.194 0.806
0 0 0.352 0.648
0 0 0.65 0.35
0.014 0.084 0.584 0.318
0.014 0.048 0.738 0.2
0 0 0.286 0.714
0 0 0.26 0.74
0 0 0.12 0.88
0 0 0.588 0.412
0.12 0.152 0.278 0.45
0.054 0.046 0.876 0.024
0.02 0.01 0.936 0.034
0.054 0.046 0.876 0.024
0.02 0.01 0.936 0.034
0.054 0.046 0.876 0.024
0.02 0.01 0.936 0.034
0.054 0.046 0.876 0.024
0.02 0.01 0.936 0.034
0.152 0.014 0.408 0.426
0.284 0.02 0.344 0.352
0.164 0.8 0.022 0.014
0.056 0.002 0.848 0.094
0.082 0.12 0.576 0.222
0.006 0 0.398 0.596
0 0 0.338 0.662
0 0 0.096 0.904
0.268 0.258 0.298 0.176
0.274 0.506 0.148 0.072
0.288 0.264 0.282 0.166
0.426 0.082 0.476 0.016
0.018 0.008 0.746 0.228
0 0 0.48 0.52
0 0 0.39 0.61
0 0 0.366 0.634
0 0 0.308 0.692
0.34 0 0.308 0.352
0.188 0.016 0.794 0.002
0.092 0.558 0.018 0.332
0.092 0.558 0.018 0.332
0.092 0.558 0.018 0.332
0.014 0.056 0.69 0.24
0.482 0.258 0.206 0.054
0.34 0 0.308 0.352
0.188 0.016 0.794 0.002
0.136 0.066 0.634 0.164
0.172 0 0.772 0.056
0 0 0.556 0.444
0 0 0.082 0.918
0.34 0 0.308 0.352
0.188 0.016 0.794 0.002
0 0.006 0.206 0.788
0 0 0.788 0.212
0.032 0.02 0.884 0.064
0.018 0.024 0.808 0.15
0.002 0.076 0.816 0.106
0.166 0.364 0.078 0.392
0 0 0.492 0.508
0.152 0.152 0.32 0.376
0.248 0.018 0.3 0.434
0.242 0.058 0.67 0.03
0.208 0.204 0.534 0.054
0.042 0.004 0.952 0.002
0.16 0.316 0.158 0.366
0.16 0.316 0.158 0.366
0 0 0.262 0.738
0 0 0.592 0.408
0.208 0.204 0.534 0.054
0.042 0.004 0.952 0.002
0 0 0.054 0.946
0 0 0.054 0.946
0 0.51 0.16 0.33
0 0.006 0.91 0.084
0.208 0.204 0.534 0.054
0.042 0.004 0.952 0.002
0.208 0.204 0.534 0.054
0.042 0.004 0.952 0.002
0 0 0.274 0.726
0 0 0.788 0.212
0.118 0.004 0.21 0.668
0.018 0 0.706 0.276
0 0 0.758 0.242
0 0 0.798 0.202
0 0 0.568 0.432
0.028 0.004 0.686 0.282
0.272 0.016 0.646 0.066
0.026 0.148 0.752 0.074
0.072 0.038 0.538 0.352
0.42 0.004 0.576 0
0.922 0 0.078 0
0.154 0.042 0.742 0.062
0.396 0 0.604 0
0.87 0 0.13 0
0.492 0.306 0.196 0.006
0.462 0.312 0.226 0
0.298 0.612 0.032 0.058
0.868 0 0.132 0
0.736 0 0.264 0
0.734 0 0.266 0
0.538 0 0.462 0
0.424 0 0.576 0
0.212 0 0.788 0
0.33 0.284 0.358 0.028
0.478 0 0.522 0
0.566 0.072 0.204 0.158
0 0.004 0.916 0.08
0.008 0.036 0.606 0.35
0 0.51 0.16 0.33
0.042 0.208 0.26 0.49
0.42 0.068 0.434 0.078
0.108 0.014 0.876 0.002
0.006 0.128 0.198 0.668
0.074 0.808 0.018 0.1
0.044 0.252 0.23 0.474
0.696 0 0.304 0
0.122 0.382 0.168 0.328
0.054 0.016 0.498 0.432
0.326 0.032 0.616 0.026
0.186 0.006 0.756 0.052
0 0 0.424 0.576
0.088 0.47 0.42 0.022
0.004 0.05 0.802 0.144
0.004 0.05 0.802 0.144
0 0.51 0.16 0.33
0.216 0.572 0.16 0.052
0.26 0.6 0.062 0.078
0 0 0.272 0.728
0 0 0.528 0.472
0.052 0 0.462 0.486
0.516 0.078 0.406 0
0.306 0.152 0.542 0
0.752 0.184 0.054 0.01
0.046 0.164 0.59 0.2
0.11 0.152 0.666 0.072
0.042 0.696 0.098 0.164
0.028 0.586 0.166 0.22
0.398 0.2 0.296 0.106
0.25 0.638 0.106 0.006
0.266 0.388 0.28 0.066
0.746 0.08 0.17 0.004
0.328 0.282 0.39 0
0.022 0.53 0.446 0.002
0.896 0.002 0.102 0
0.406 0 0.594 0
0.51 0 0.49 0
0.662 0.278 0.024 0.036
0.172 0.592 0.218 0.018
0.416 0.416 0.034 0.134
0.838 0.03 0.126 0.006
0.418 0.074 0.402 0.106
0.494 0.178 0.282 0.046
0 0 0.528 0.472
0.052 0 0.462 0.486
0.222 0.126 0.528 0.124
0.418 0.494 0.076 0.012
0.124 0.308 0.23 0.338
0.212 0.504 0.28 0.004
0.004 0.032 0.794 0.17
0.02 0.1 0.54 0.34
0.004 0.032 0.794 0.17
0.02 0.1 0.54 0.34
0.01 0.37 0.486 0.134
0.048 0.526 0.308 0.118
0.032 0.748 0.076 0.144
0.514 0.362 0.118 0.006
0.546 0.314 0.13 0.01
0.13 0.708 0.11 0.052
0.022 0.224 0.376 0.378
0.104 0.296 0.496 0.104
0.022 0.224 0.376 0.378
0.104 0.296 0.496 0.104
0.506 0.156 0.146 0.192
0.028 0.874 0.076 0.022
0.032 0.428 0.126 0.414
0 0 0.184 0.816
0 0 0.204 0.796
0.072 0.63 0.15 0.148
0.268 0.376 0.264 0.092
0.072 0.63 0.15 0.148
0.268 0.376 0.264 0.092
0.076 0.284 0.436 0.204
0.388 0.348 0.228 0.036
0.072 0.63 0.15 0.148
0.268 0.376 0.264 0.092
0.076 0.284 0.436 0.204
0.388 0.348 0.228 0.036
0.022 0.224 0.376 0.378
0.104 0.296 0.496 0.104
0.076 0.284 0.436 0.204
0.388 0.348 0.228 0.036
0.006 0.124 0.362 0.508
0 0.024 0.872 0.104
0.006 0.124 0.362 0.508
0 0.09 0.382 0.528
0.006 0.124 0.362 0.508
0.002 0.02 0.75 0.228
0.114 0.1 0.678 0.108
0 0 0.312 0.688
0 0 0.704 0.296
0 0 0.704 0.296
0 0 0.158 0.842
0.024 0.006 0.71 0.26
0.022 0.026 0.834 0.118
0.324 0.174 0.408 0.094
0.092 0.022 0.66 0.226
0.078 0.232 0.684 0.006
0.034 0.14 0.778 0.048
0.01 0.038 0.37 0.582
0.026 0.014 0.302 0.658
0.002 0.122 0.568 0.308
0.002 0.122 0.568 0.308
0.002 0.122 0.568 0.308
0.002 0.122 0.568 0.308
0.002 0.122 0.568 0.308
0.002 0.122 0.568 0.308
0.002 0.122 0.568 0.308
0 0 0.044 0.956
0 0 0.356 0.644
0.078 0.604 0.106 0.212
0 0 0.044 0.956
0 0 0.356 0.644
0 0.11 0.232 0.658
0 0 0.342 0.658
0 0 0.7 0.3
0 0 0.342 0.658
0 0 0.7 0.3
0.078 0.604 0.106 0.212
0 0 0.4 0.6
0.002 0 0.308 0.69
0 0 0.262 0.738
0 0 0.592 0.408
0.044 0 0.75 0.206
0.002 0 0.356 0.642
0.034 0.14 0.778 0.048
0 0 0.282 0.718
0 0 0.61 0.39
0.06 0.012 0.494 0.434
0.004 0.004 0.916 0.076
0.472 0.134 0.266 0.128
0.198 0.048 0.754 0
0.448 0.09 0.454 0.008
0.286 0.072 0.642 0
0.186 0.352 0.25 0.212
0.256 0.252 0.332 0.16
0.096 0.76 0.118 0.026
0.742 0.15 0.062 0.046
0.244 0.208 0.528 0.02
0.066 0.208 0.634 0.092
0.426 0.102 0.47 0.002
0.49 0.278 0.226 0.006
0.148 0.572 0.276 0.004
0.498 0.116 0.156 0.23
0 0.082 0.912 0.006
0.096 0.196 0.062 0.646
0.066 0.73 0.014 0.19
0.526 0.292 0.178 0.004
0.38 0.37 0.238 0.012
0.324 0.352 0.278 0.046
0.364 0.142 0.494 0
0.818 0.132 0.05 0
0.216 0.046 0.69 0.048
0.204 0.28 0.514 0.002
0.016 0.106 0.154 0.724
0.172 0.04 0.596 0.192
0.03 0.088 0.636 0.246
0 0 0.17 0.83
0 0 0.56 0.44
0 0 0.386 0.614
0.034 0.14 0.778 0.048
0.084 0.298 0.448 0.17
0 0 0.212 0.788
0.072 0.008 0.892 0.028
0.62 0 0.378 0.002
0.006 0.256 0.606 0.132
0 0 0.74 0.26
0 0 0.556 0.444
0.072 0.008 0.892 0.028
0.62 0 0.378 0.002
0 0 0.25 0.75
0.072 0.008 0.892 0.028
0.62 0 0.378 0.002
0.072 0.008 0.892 0.028
0.62 0 0.378 0.002
0 0 0.276 0.724
0 0 0.74 0.26
0 0 0.556 0.444
0.09 0.002 0.802 0.106
0.004 0.02 0.962 0.014
0 0 0.428 0.572
0.09 0.002 0.802 0.106
0.004 0.02 0.962 0.014
0.55 0.002 0.448 0
0.508 0.016 0.298 0.178
0.55 0.002 0.448 0
0.508 0.016 0.298 0.178
0.018 0.374 0.42 0.188
0.424 0.414 0.06 0.102
0 0 0.406 0.594
0.002 0.024 0.322 0.652
0 0.038 0.954 0.008
0.104 0 0.472 0.424
0.012 0.004 0.756 0.228
0.016 0.502 0.226 0.256
0.508 0.016 0.298 0.178
0 0 0.588 0.412
0 0 0.462 0.538
0.004 0.048 0.296 0.652
0.016 0.502 0.226 0.256
0.002 0.076 0.768 0.154
0.032 0.334 0.138 0.496
0.032 0.334 0.138 0.496
0 0 0.308 0.692
0 0 0.308 0.692
0.002 0.076 0.768 0.154
0.188 0.538 0.156 0.118
0.188 0.538 0.156 0.118
0.188 0.538 0.156 0.118
0 0 0.208 0.792
0 0 0.068 0.932
0.032 0.334 0.138 0.496
0.15 0.644 0.054 0.152
0 0.008 0.658 0.334
0 0 0.956 0.044
0.116 0.214 0.604 0.066
0 0.002 0.612 0.386
0.116 0.214 0.604 0.066
0.028 0.816 0.104 0.052
0.004 0.104 0.598 0.294
0.116 0.214 0.604 0.066
0.008 0 0.726 0.266
0.008 0 0.726 0.266
0 0 0.556 0.444
0 0 0.082 0.918
0.116 0.032 0.82 0.032
0 0 0.268 0.732
0.162 0.002 0.78 0.056
0.162 0.002 0.78 0.056
0.004 0.104 0.598 0.294
0 0 0.346 0.654
0 0 0.358 0.642
0 0 0.24 0.76
0.188 0.008 0.636 0.168
0 0 0.51 0.49
0 0.11 0.796 0.094
0.102 0.282 0.532 0.084
0 0 0.346 0.654
0 0 0.54 0.46
0 0 0.142 0.858
0 0 0.362 0.638
0 0 0.142 0.858
0 0 0.362 0.638
0 0 0.142 0.858
0 0 0.362 0.638
0.284 0.078 0.554 0.084
0.064 0.21 0.704 0.022
0.12 0.098 0.734 0.048
0.006 0.024 0.512 0.458
0.042 0.24 0.354 0.364
0.01 0.04 0.632 0.318
0 0.002 0.654 0.344
0.024 0.594 0.122 0.26
0.042 0.162 0.522 0.274
0.19 0.088 0.692 0.03
0.042 0.162 0.522 0.274
0.19 0.088 0.692 0.03
0.042 0.162 0.522 0.274
0.04 0.02 0.868 0.072
0.04 0.142 0.524 0.294
0.042 0.24 0.354 0.364
0 0 0.514 0.486
0 0.104 0.334 0.562
0 0 0.442 0.558
0 0 0.454 0.546
0 0 0.514 0.486
0 0.104 0.334 0.562
0.188 0.008 0.636 0.168
0.042 0.24 0.354 0.364
0 0 0.268 0.732
0 0 0.058 0.942
0.08 0.016 0.824 0.08
0.046 0.002 0.682 0.27
0.07 0.014 0.86 0.056
0.056 0.016 0.642 0.286
0.042 0.24 0.354 0.364
0 0 0.95 0.05
0 0 0.268 0.732
0 0 0.522 0.478
0.026 0.124 0.792 0.058
0.042 0.048 0.85 0.06
0 0 0.282 0.718
0 0 0.282 0.718
0 0 0.282 0.718
0.024 0.002 0.94 0.034
0.04 0 0.638 0.322
0.024 0.002 0.94 0.034
0.04 0 0.638 0.322
0 0 0.282 0.718
0 0 0.53 0.47
0 0 0.524 0.476
0 0 0.292 0.708
0.108 0.194 0.624 0.074
0 0 0.462 0.538
0 0 0.134 0.866
0.004 0.488 0.204 0.304
0 0 0.29 0.71
0.004 0.274 0.25 0.472
0.004 0.274 0.25 0.472
0.004 0.274 0.25 0.472
0.004 0.274 0.25 0.472
0 0.034 0.37 0.596
0 0.034 0.37 0.596
0 0.034 0.37 0.596
0 0.044 0.748 0.208
0 0 0.51 0.49
0.326 0.082 0.552 0.04
0 0 0.418 0.582
0 0 0.27 0.73
0 0 0.47 0.53
0 0 0.47 0.53
0 0 0.47 0.53
0 0.044 0.748 0.208
0.326 0.082 0.552 0.04
0.004 0 0.23 0.766
0 0 0.708 0.292
0 0 0.27 0.73
0 0 0.27 0.73
0.004 0 0.23 0.766
0 0 0.27 0.73
0 0 0.346 0.654
0 0.054 0.684 0.262
0 0 0.556 0.444
0 0 0.082 0.918
0 0.054 0.684 0.262
0.066 0.012 0.612 0.31
0.096 0.034 0.334 0.536
0 0 0.106 0.894
0 0 0.462 0.538
0 0 0.462 0.538
0 0 0.36 0.64
0 0 0.32 0.68
0 0 0.462 0.538
0.006 0.014 0.63 0.35
0.014 0.022 0.732 0.232
0 0 0.51 0.49
0.006 0.014 0.63 0.35
0.014 0.022 0.732 0.232
0 0 0.65 0.35
0 0 0.65 0.35
0 0 0.65 0.35
0.086 0.12 0.746 0.048
0 0 0.65 0.35
0 0 0.284 0.716
0 0 0.48 0.52
0 0 0.492 0.508
0 0 0.252 0.748
0 0 0.442 0.558
0 0 0.414 0.586
0 0 0.442 0.558
0 0 0.414 0.586
0 0 0.442 0.558
0 0 0.414 0.586
0 0.004 0.682 0.314
0.066 0.032 0.31 0.592
0.014 0.034 0.224 0.728
0.06 0.07 0.696 0.174
0 0 0.374 0.626
0.34 0.214 0.196 0.25
0 0 0.19 0.81
0.146 0.01 0.684 0.16
0 0 0.802 0.198
0 0 0.238 0.762
0.058 0.02 0.392 0.53
0.006 0.084 0.564 0.346
0.002 0 0.934 0.064
0 0 0.59 0.41
0 0 0.06 0.94
0 0 0.598 0.402
0.006 0 0.55 0.444
0 0 0.668 0.332
0 0 0.636 0.364
0 0.486 0.502 0.012
0.156 0.13 0.134 0.58
0 0.486 0.502 0.012
0.156 0.13 0.134 0.58
0.058 0.02 0.392 0.53
0.006 0.084 0.564 0.346
0 0.486 0.502 0.012
0.156 0.13 0.134 0.58
0.002 0.182 0.322 0.494
0.2 0.246 0.352 0.202
0 0 0.668 0.332
0 0 0.636 0.364
0 0 0.082 0.918
0 0 0.492 0.508
0 0.002 0.614 0.384
0 0 0.124 0.876
0 0 0.554 0.446
0 0.002 0.178 0.82
0 0 0.252 0.748
0.662 0 0.338 0
0.816 0 0.184 0
0 0 0.16 0.84
0 0 0.326 0.674
0 0 0.106 0.894
0 0 0.326 0.674
0 0 0.106 0.894
0 0 0.016 0.984
0 0 0.122 0.878
0 0.002 0.178 0.82
0 0 0.252 0.748
0.052 0.018 0.258 0.672
0.008 0.02 0.662 0.31
0.02 0.018 0.454 0.508
0 0 0.102 0.898
0 0 0.192 0.808
0.308 0.106 0.482 0.104
0.308 0.106 0.482 0.104
0.308 0.106 0.482 0.104
0.106 0.102 0.434 0.358
0.008 0.02 0.662 0.31
0.02 0.018 0.454 0.508
0.106 0.102 0.434 0.358
0.166 0.038 0.274 0.522
0.03 0.306 0.368 0.296
0.02 0.352 0.548 0.08
0.468 0.148 0.264 0.12
